id,name,category,address,tags,thumbnailUrl,descriptionShort,openingHours,phone,priceInfo,lat,lng
soesokkak,쇠소깍,attraction,제주 서귀포시 쇠소깍로 104,"자연,사진,액티비티,가족여행",,쇠소깍은 한라산에서 서귀포시 하효동으로 흐르는 효돈천의 담수와 해수가 만나는 기수역에 위치하고 있는 하천지형이다,계절 및 현장 상황에 따라 변동,정보없음,무료, 33.2415, 126.5269
snoopy-garden,스누피가든,attraction,제주 제주시 구좌읍 금백조로 930,"가족여행,친구들,사진",,스누피 가든 하우스는 감정에 솔직하고 개성 있는 피너츠 친구들을 만나 그들 간의 상호 관계를 통한 공감과 위로의 메시지를 얻는 곳이다.,계절 및 현장 상황에 따라 변동,064-805-1118,"성인 19,000원/청소년 16,000원", 33.4589, 126.7935
shinhwa-theme-park,신화테마파크,attraction,제주 서귀포시 안덕면 신화역사로304번길 98 신화테마파크,"가족여행,액티비티,친구들",,대형 놀이기구와 테마존이 마련된 제주 대표 가족형 테마파크입니다.,10:00-20:00,1670-1188,품목별 상이, 33.2955, 126.2706
aquaplanet-jeju,아쿠아플라넷제주,attraction,제주 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,"가족여행,친구들,자연",,대형 수조와 다양한 해양생물을 만날 수 있는 제주 최대 규모 아쿠아리움입니다.,09:30-18:00,1833-7001,"입장권 44,600원", 33.4325283, 126.9272108
ecoland-theme-park,에코랜드테마파크,attraction,제주 제주시 조천읍 번영로 1278-169,"가족여행,사진,휴식",,기차를 타고 숲과 호수를 둘러보는 자연 친화형 체험 테마파크입니다,08:30-17:30,064-802-8000,"성인 19,000원/청소년 16,000원", 33.4974, 126.7260
yongmeori-coast,용머리해안,attraction,제주 서귀포시 안덕면 사계리 112-3,"자연,사진,가족여행",,화산이 쌓고 파도가 깎은 제주 사계리 용머리 해안,계절 및 현장 상황에 따라 변동,064-760-6321,"성인 2,000원/청소년 1,000원", 33.2500, 126.1720
jungmun-saekdal-beach,중문색달해수욕장,attraction,제주 서귀포시 색달동,"자연,사진,친구들,가족여행,반려동물 동반",,중문색달해수욕장은 아름다운 해안 풍경과 야자수의 이국적인 모습을 가진 해변으로 중문관광단지에서 시작해 천제연폭포와 대포주상절리와 이어지는 곳에 있다.,정보없음,064-739-4993,무료, 33.2539, 126.4140
jongdal-ri-beach,종달리해변,attraction,제주 제주시 구좌읍 종달리 565-72,"자연,사진,친구들",,맑고 잔잔한 바다와 드라이브 코스로 유명한 제주 동부의 해변입니다.,정보없음,064-728-7711,무료, 33.5890, 126.7720
figure-museum-jeju,피규어뮤지엄제주,attraction,제주 서귀포시 안덕면 한창로 243,"친구들,가족여행,문화",,다양한 피규어와 캐릭터 전시를 감상할 수 있는 체험형 박물관입니다.,09:30-18:00,0507-1433-2264,"성인 14,000원/청소년 12,000원", 33.2611, 126.3279
hallasan-national-park,한라산국립공원,attraction,제주 제주시 오라이동 산107-20,"자연,사진,액티비티,혼자,가족여행",,다양한 등산 코스와 자연생태를 즐길 수 있는 제주 최고의 산악 관광지입니다.,계절 및 현장 상황에 따라 변동,정보없음,무료, 33.3617, 126.5292
hallim-park,한림공원,attraction,제주 제주시 한림읍 한림로 300,"반려동물 동반,자연,사진,가족여행",,"아열대 식물원과 동굴, 정원이 어우러진 제주 대표 정원형 관광지입니다.",09:00-17:30,064-796-0001,"일반 15,000원/청소년 10,000원", 33.3158, 126.2389
hamdeok-beach,함덕해수욕장,attraction,제주 제주시 조천읍 조함해안로 525,"자연,사진,친구들,가족여행,반려동물 동반",,푸른 잉크 속으로 풍덩 고운 백사장과 얕은 바다 속 패사층이 만들어내는 푸른빛 바다가 아름다운 해수욕장이다.,정보없음,064-728-3989,무료, 33.5536, 126.6694
hueree-nature-park,휴애리 자연생활공원,attraction,제주 서귀포시 남원읍 신례동로 256,"가족여행,자연,사진,반려동물 동반",,휴애리는 수많은 꽃들과 한라산 풍경이 더해져 더욱 아름다움을 자랑하는 꽃 정원이다. ,09:00-18:00,064-732-2114,"성인 13,000원/청소년 11,000원", 33.2558, 126.3198
Grand Josun Jeju,그랜드 조선 제주,stay,제주 서귀포시 중문관광로72번길 60 그랜드조선제주,"럭셔리,휴식,가족여행,커플,사진",,"2021년 오픈, 키즈테마 객실과 사계절 온수풀 등이 마련되어 있는 가족 친화적인 호텔",체크인 15:00체크아웃 11:00,064-738-6600,5성급, 33.2501, 126.4156
Grand Hyatt Jeju,그랜드 하얏트 제주,stay,제주 제주시 노연로 12,"럭셔리,휴식,가족여행,커플,사진",,"고급 쇼핑몰과 수영장, 다국적 다이닝을 겸비한 제주시 중심의 호텔",체크인 15:00체크아웃 11:00,064-907-1234,5성급, 33.5105, 126.4922
The Shilla Jeju,제주신라호텔,stay,제주 서귀포시 중문관광로72번길 75,"럭셔리,휴식,가족여행,커플,사진",,글램핑 시설과 허니문형 스위트를 완비한 중문관광단지 내 호텔,체크인 15:00체크아웃 11:00,064-735-5114,5성급, 33.2534, 126.4167
Maison Glad Jeju,메종 글래드 제주,stay,제주 제주시 노연로 80,"휴식,가족여행,사진,더보기",,야외 정원 등이 마련된 제주 도심에 위치한 40년 전통의 호텔,체크인 15:00체크아웃 11:00,064-747-5000,5성급, 33.4999, 126.5201
Parnas Hotel Jeju,파르나스 호텔 제주,stay,제주 서귀포시 중문관광로72번길 100,"럭셔리,휴식,커플,사진",,브랜드 어메니티 및 침대를 완비하고 오션뷰 다이닝을 갖춘 2022년 신상 호텔,체크인 15:00체크아웃 11:00,064-801-5555,5성급, 33.3020, 126.2450
Lotte Hotel Jeju,롯데 호텔 제주,stay,제주 서귀포시 중문관광로72번길 35 ,"럭셔리,가족여행,커플,더보기",,"올데이 다이닝, 피트니스 시설, 야외 수영장 등을 모두 갖춘 중문관광단지의 고급 체인 호텔",체크인 15:00체크아웃 11:00,064-731-1000,5성급, 33.2499, 126.4148
Landing Jeju Shinhwa World Hotel,랜딩관 제주신화얼드 호텔앤리조트,stay,제주 서귀포시 안덕면 신화역사로304번길 38,"가족여행,휴식,사진,더보기",,다양한 F&B시설과 휴식공간을 갖춘 제주 신화월드 내의 원스탑 힐링 숙소,체크인 15:00체크아웃 11:00,1670-8800,5성급, 33.2950, 126.2705
Shilla Stay Jeju Airport,신라스테이 제주,stay,제주 제주시 노연로 100,"휴식,더보기,가족여행,더보기",,제주공항과 인접하며 미팅룸 등의 비즈니스 시설을 완비한 제주 시내의 호텔,체크인 15:00체크아웃 11:00,064-717-9000,4성급, 33.5012, 126.5215
Shilla Stay Plus IhoTewoo Ocean Front,신라스테이 플러스 이호테우 오션 프론트,stay,제주 제주시 연대마을길 76,"휴식,오션뷰,커플,사진",,"제주 국제공항에서 차로 약 20분 거리, 호텔신라의 업스케일 브랜드 '신라스테이'의 레저형 호텔",체크인 15:00체크아웃 11:00,064-740-9000,4성급, 33.5070, 126.3770
Ecoland Hotel,에코랜드 호텔,stay,제주 제주시 조천읍 번영로 1278-169,"자연,휴식,가족여행",,에코랜드 테마파크와 맞닿아 있으며 숲과 호수 전망을 갖춘 유러피안 스타일의 호텔,체크인 15:00체크아웃 11:00,064-801-6001,5성급, 33.4980, 126.7260
Hotel Whistlelark Jeju,호텔 휘슬락 제주,stay,제주 제주시 서부두2길 26,"휴식,사진,가족여행,친구들",,제주 시에서 바다를 볼 수 있는 객실과 야외수영장을 보유한 호텔,체크인 15:00체크아웃 11:00,064-795-7000,4급, 33.5137, 126.5232
Haevichi Hotel & Resort Jeju,해비치 호텔&리조트 제주,stay,제주 서귀포시 표선면 민속해안로 537,"럭셔리,휴식,오션뷰,가족여행,사진",,제주 표선 앞바다의 일출을 바라보며 쉬어갈 수 있는 고급 숙소,체크인 15:00체크아웃 11:00,064-780-8100,5성급, 33.3235, 126.8448
LOTTE City Hotel Jeju,롯데시티호텔 제주,stay,제주 제주시 도령로 83,"휴식,더보기",,탁 트인 전망을 자랑하는 루프탑 야외 수영장이 인상적인 고급 호텔,체크인 15:00체크아웃 11:00,064-730-1000,4성급, 33.5061, 126.4965
Kensington Resort Seogwipo,켄싱턴리조트 서귀포,stay,제주 서귀포시 이어도로 684,"가족여행,휴식",,"자연과 어우러진 멋진 야외 수영장과 깔끔한 시설, 올레길 중 가장 유명한 7코스가 지나가는 스폿으로 유명한 리조트",체크인 15:00체크아웃 11:00,064-739-9001,4급, 33.2506, 126.4159
Seogwipo Neulbada Pet Pension,서귀포 늘바다 애견동반 펜션,stay,제주특별자치도 서귀포시 안덕면 대평로 38,"반려동물 동반,휴식,자연",,반려견과 함께 제주 바다를 즐길 수 있는 감성 가득 애견동반 펜션,체크인 15:00체크아웃 11:00,,3급, 33.2400, 126.5700
Donnaeko Pension,돈내코펜션,stay,제주 서귀포시 돈내코로67번길 30,"자연,휴식,가족여행",,돈내코 계곡 가까이에서 자연 속 힐링을 누릴 수 있는 조용한 휴식형 펜션,체크인 15:00 체크아웃 11:00,,3급, 33.3860, 126.5650
Infinity Resort In Jeju,함덕 인피니티 펜션 리조트,stay,제주 제주시 조천읍 조함해안로 378,"오션뷰,커플,휴식,사진",,함덕 해변을 한눈에 담는 인피니티 풀로 유명한 리조트형 펜션,체크인 16:00체크아웃 11:00,064-782-8888,5급, 33.5520, 126.6690
Seaside Arden,씨사이드아덴,stay,제주 서귀포시 중문관광로 124,"오션뷰,커플,휴식,사진",,중문 관광 단지 내 있어 테디베어 뮤지엄 및 중문 색달 해수욕장과 가까운 리조트,체크인 15:00체크아웃 11:00,064-731-9888,4급, 33.2475, 126.4145
Jeju Eco Suites,제주 에코 스위츠,stay,제주 서귀포시 중문상로 207-13,"자연,휴식,사진",,전 객실이 오션뷰로 구성된 여유로운 제주 바다 힐링 리조트,체크인 15:00체크아웃 11:00,064-738-9975,3급, 33.4965, 126.7260
Ocean Brick Poolvilla,오션브릭 풀빌라,stay,제주 서귀포시 안덕면 산방로 75-3,"풀빌라,커플,휴식,사진,오션뷰",,,체크인 15:00 체크아웃 11:00,,3급, 33.2540, 126.1695
Jeju Chrismas Resort,크리스마스 리조트,stay,제주 제주시 구좌읍 해맞이해안로 2030-8,"반려동물 동반,가족여행,휴식",,,체크인 15:00 체크아웃 10:00,064-784-1224,3급, 33.5295, 126.8775
Jeju stay eden Dokche poolvila Pension,제주 스테이이든 독채 풀빌라 펜션,stay,제주 서귀포시 표선면 일주동로 5675  ,"반려동물 동반,풀빌라,자연,커플,휴식",,,체크인 16:00체크아웃 11:00,,3급, 33.5000, 126.7200
Hidden Cliff Hotel and Nature,히든 클리프 호텔&네이쳐,stay,제주 서귀포시 예래해안로 542,"가족여행,자연,휴식,커플,사진",,사계절 이용이 가능한 온수 인피니티풀이 유명한 중문관광단지 부근의 호텔,체크인 15:00체크아웃 11:00,064-752-7777,5성급, 33.2320, 126.4330
Dyne Oceano Hotel,다인 오세아노 호텔,stay,제주 제주시 애월읍 애월해안로 394,"반려동물 동반,오션뷰,가족여행,휴식",,애월 바다 전망의 라운지를 갖춘 제주시 4성급 호텔,체크인 15:00 체크아웃 11:00,1811-0012,4성급, 33.2500, 126.1700
Hanwha Resort Jeju,한화 리조트 제주,stay,제주 제주시 명림로 575-107,"반려동물 동반,가족여행,휴식",,플라자CC 골프장과 테라피 센터 등을 갖춘 제주에서 힐링하기 좋은 리조트,체크인 15:00체크아웃 11:00,064-725-9000,3급, 33.2765, 126.3100
sukseongdo_jeju_main,숙성도 제주본점,food,"제주 제주시 제원길 30 2, 3층","흑돼지,한식",,두툼한 흑돼지를 제대로 숙성해 감칠맛을 살린 인기 맛집,11:30-22:00,064-743-8877,단체 이용 가능,33.4999,126.5355
childonga_seongsan,칠돈가 성산점,food,제주 서귀포시 성산읍 신양로 116,"흑돼지,한식",,성산에서 굽는 촉촉한 흑돼지로 사랑받는 고기 전문점,11:30-22:00(15:00-17:00 브레이크타임) 매주 수요일 정기휴무,064-784-5777,"주차, 예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분", 33.5024, 126.5108
donsadon_main,돈사돈 본관,food,제주 제주시 우평로 19,"흑돼지,한식",,육즙 가득한 흑돼지를 숯불에 구워내는 제주 대표 맛집,12:00-22:00 매주 화요일 휴무,064-746-8989,주차, 33.2490, 126.4140
heukdonga_jeju_main,흑돈가 제주본점,food,제주 제주시 한라대학로 11 흑돈가제주본점,"흑돼지,한식",,직화 풍미가 살아있는 정통 흑돼지를 맛볼 수 있는 곳,11:20-22:30(15:00-17:00 브레이크타임),0507-1366-0203,"예약, 포장, 단체 이용 가능, 남/녀 화장실 구분, 유아의자, 주차", 33.5000, 126.5200
byuldonbyul_jungmun,별돈별 중문본점,food,제주 서귀포시 구산봉로 61 1층 별돈별 중문귤밭점,"흑돼지,한식",,담백하고 탄탄한 식감의 흑돼지를 즐길 수 있는 중문 맛집,12:00-22:00(15:00-17:00 브레이크타임),0507-1309-5895,"예약, 주차", 33.2485, 126.4145
woojin_haejangguk_airport,우진해장국 제주공항,food,제주 제주시 서사로 11,"해장국,제주향토음식,한식",,속 편한 우진식 해장국의 진한 국물로 여행객에게 인기,06:00-22:00,064-757-3393,, 33.4955, 126.4890
kimheesun_momguk_airport,김희선 몸국 제주공항근처,food,제주 제주시 어영길 45-6,"제주향토음식,한식",,정성스러운 몸국으로 깊고 따뜻한 제주 향토의 맛을 전달하는 집,07:00-15:00 매주 일요일 정기휴무,064-745-0047,"단체 이용 가능, 포장, 남/녀 화장실 구분, 유아의자, 주차", 33.5185, 126.4981
kimjaehoon_gosari_ukgaejang,김재훈고사리육개장 제주시,food,제주 제주시 구남로4길 8-12 1층 김재훈고사리육개장,"해장국,제주향토음식,한식",,부드러운 고사리와 얼큰 육개장이 조화로운 한 그릇,08:00-15:00 매주 토요일 정기휴무,0507-1301-2601,"단체 이용 가능, 남/녀 화장실 구분, 포장, 배달", 33.4930, 126.5360
cheonjitgol_seogwipo,천짓골식당 서귀포,food,제주 서귀포시 중앙로41번길 4,"제주향토음식,해산물,한식",,해산물과 향토음식이 조화롭게 어우러지는 서귀포의 정통 맛집,17:10-21:30 매주 일요일 정기휴무,0507-1408-0399,"포장, 간편결제", 33.2495, 126.5610
jeju_mindam_jeju,제주미담 제주시,food,제주 제주시 가령로 19 이도이동,"한식,고기국수,제주향토음식",,정갈한 한식과 깔끔한 플레이팅이 돋보이는 제주시 맛집,"09:00-21:30 매월 첫째주 화요일, 수요일 정기휴일",064-753-0043,"포장, 유아의자, 주차", 33.5000, 126.5200
gasi_sikdang_pyoseon,가시식당 표선,food,제주 서귀포시 표선면 가시로565번길 24 중앙슈퍼,"해산물,제주향토음식,한식",,싱싱한 해산물과 담백한 국물 요리가 유명한 표선 로컬맛집,"08:30-19:30(15:00-17:00 브레이크타임) 매달 2,4번째 일요일 정기휴무",064-787-1035,단체 이용 가능, 33.3170, 126.7860
eunhee_haejangguk,은희네해장국,food,제주 제주시 고마로13길 8,"해장국,한식",,뚝배기 가득 진한 국물의 해장국으로 아침 든든하게 해결하는 집,06:00-15:00 매주 목요일 정기휴무,064-726-5622,단체 이용 가능, 33.508522, 126.5408
daechun_haejangguk_main,대춘해장국 본점,food,제주 제주시 연북로 398,"해장국,한식",,얼큰하고 깊은 맛의 국물로 해장에 딱 맞는 명품 해장국집,06:00-15:00 매주 월요일 정기휴무,0507-1417-7456,"단체 이용 가능, 주차, 포장, 남/녀 화장실 구분", 33.4967, 126.5304
jamae_guksu,자매국수 제주시,food,제주 제주시 항골남길 46 자매국수,"고기국수,제주향토음식,한식",,탱글한 고기와 시원한 국물이 시그니처인 제주 고기국수 맛집,09:00-18:00(14:30-16:10 브레이크타임) 매주 수요일 정기휴무,064-746-2222,"단체 이용 가능, 무선 인터넷, 포장, 남/녀 화장실 구분", 33.5010, 126.5180
ollaeguksu_shinjeju,올래국수 신제주,food,제주 제주시 귀아랑길 24 올래국수,"고기국수,제주향토음식,한식",,쫄깃한 돔베고기와 진한 육수가 어우러진 대표 고기국수집,08:00-15:00 매주 일요일 정기휴무,064-742-7355,"무선 인터넷, 반려동물 동반, 유아의자, 남/녀 화장실 구분", 33.4985, 126.5320
modern_dombae_nohyeong,모던돔베 제주노형본점,food,제주 제주시 1100로 3029 1층 모던돔베,"제주향토음식,한식",,정통 제주 돔베 요리를 현대적으로 담아내는 깔끔한 식당,10:00-17:00,0507-1389-1693,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 유아의자", 33.5031, 126.4823
golmak_sikdang_jeju,골막식당 제주시,food,제주 제주시 천수로 12,"한식,제주향토음식",,담백하고 정성스러운 한 상을 내는 제주의 가정식 맛집,06:30-18:00,064-753-6949,"단체 이용 가능, 포장, 남/녀 화장실 구분, 유아의자, 주차", 33.5000, 126.5200
galchi_wang_jungmun,갈치왕 중문점,food,제주 서귀포시 일주서로 1146 갈치왕,"해산물,제주향토음식,한식",,신선한 갈치와 해산물을 푸짐하게 즐길 수 있는 중문 맛집,10:30-21:30,0507-1343-9333,"단체 이용 가능, 주차, 남/녀 화장실 구분, 무선 인터넷", 33.2490, 126.4135
chunsimine_main,춘심이네 본점,food,제주 서귀포시 안덕면 창천중앙로24번길 16 1층 춘심이네 본점,"해산물,한식",,통통한 생선요리가 인기인 오랜 전통의 해산물 전문점,10:30-21:00,0507-1420-4018,"무선 인터넷, 남/녀 화장실 구분, 포장, 단체 이용 가능", 33.2647, 126.3706
jeju_gwanghae_aewol,제주광해 애월,food,제주 제주시 애월읍 애월해안로 867 2층,"한식,해산물",,바다 향 가득한 해산물 요리를 현대적으로 구성한 애월 맛집,10:00-20:00,0507-1312-4789,"단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 예약", 33.3745, 126.2821
hwanghae_sikdang_jeju,황해식당 제주시,food,제주 제주시 일주서로 7682 황해식당 제주공항 갈치,"한식,해산물",,깔끔한 국물요리와 해산물이 어우러진 제주시의 숨은 맛집,10:00-18:40 매주 목요일 정기휴무,0507-1318-9737,"단체 이용 가능, 포장, 무선 인터넷, 주차", 33.4890, 126.4820
hallim_kalguksu_main,한림칼국수 제주본점,food,제주 제주시 한림읍 한림해안로 141,한식,,쫄깃한 칼국수와 진한 국물이 유명한 한림의 대표 맛집,08:00-15:30 매주 수요일 정기휴무,0507-1442-3371,"단체 이용 가능, 포장, 남/녀 화장실 구분, 예약, 무선 인터넷", 33.3015, 126.2390
