id,name,type,address,lat,lng,keywords,description,image_url
11,가마오름,spot,제주특별자치도 제주시 한경면 청수서5길 63,,,산|숲|곶자왈|폭포|계곡|가족|실외|등산|트레킹|자연|주차장|화장실|펜션|민박|언덕같은 봉우리가|동사면은 북동쪽으로|수룡동 마을안길로|마을 남동쪽|수룡동|한경면 수룽이마을|중심으로|완만한,한경면 수룽이마을(산양리 수룡동) 뒷산으로 마을 남동쪽 약 500m지점에 위치한 오름으로· 수룡동 마을안길로 들어가면 쉽게 오를 수 있다. 주봉인 남쪽봉우리를 중심으로 북쪽으로 뻗은 등성마루에는 언덕같은 봉우리가 솟아 있고· 완만한 동사면은 북동쪽으로 말굽형 화구를 이루며 얕고 넓게 벌어져 있으며 붉은송이로 이루어져 있다.,
12,가마오름 진지동굴,spot,제주특별자치도 제주시 한경면 청수서5길 63,,,문화|역사|동굴|용암동|산|가족|문화재|실내|등산|트레킹|실외|주차장|화장실|펜션|민박|일본군이 군사기지로|동굴진지는 한경면|박물관이다|출입구는 33개가|청수리 평화동|재활용한 특수|비행장|2km로,가마오름 동굴진지는 제주시 한경면 청수리 평화동 가마오름 기슭에 위치했다. 일본군이 군사기지로 썼던 땅굴을 재활용한 특수 박물관이다. 여기서 산방산과 모슬포· 알뜨르 비행장· 고산 해안가 등을 한눈에 볼 수 있다. 총 2km로 추정되는 땅굴 진지는 제주특별자치도 최대 규모로 모두 17곳이 있으며 출입구는 33개가 있다.,
13,가메오름,spot,,,,산|숲|곶자왈|바다|실외|등산|트레킹|카페뷰|야경|자연|리조트|비양도와 바다도|오름과 새별|이달 오름|낮고 작은|정상에서 누운|한림의 비양도와|하지만|등을,다른 오름의 비해· 정상에 낮고 작은 분화구가 있다. 하지만 정상에서 누운 오름과 새별 오름· 이달 오름 등을 볼 수 있다. 한림의 비양도와 바다도 볼 수 있다.,
14,가뫼물,spot,제주특별자치도 서귀포시 남원읍 남위남성로 168,,,도로|드라이브|숲|곶자왈|습지|호수|가족|실외|아이와함께|등산|트레킹|액티비티|자연|주차장|화장실(3동)|음료대|안내소|피난시설|리조트|펜션|게스트하우스|서귀포시 남원읍에|겨울에도 감귤을|동물에게도|밭일에 썼으며|생명수가|물이|생긴|샘이라,제주농촌생태체험농장 ‘가뫼물’은 서귀포시 남원읍에 위치하며 겨울에도 감귤을 볼 수 있다. 날이 가물어도 마르지 않는 샘이라 ‘가뫼물’이라 이름 붙였다. 곶자왈 물이 모여 생긴 웅덩이로 제주인은 밭일에 썼으며 동물에게도 생명수가 됐다.,
15,가문이오름(감은이오름),spot,제주특별자치도 서귀포시 표선면 남조로 1487-73,,,도로|드라이브|산|숲|곶자왈|가족|실외|등산|트레킹|반려동물|캠핑|차박|자연|주차장|화장실|음료대|안내소|피난시설|호텔|펜션|낙엽수림이 우거져|낙엽수림이|생소한 야생화가|야생화가 자란다|분홍|붉은오름뿐|검게 보인다고|여러,붉은오름과 마주한 가문이오름은 오름 중턱에 삼나무와 해송이 숲이· 그 위로는 낙엽수림이 우거져 있다. 숲이 우거져 검게 보인다고 하여 가문이오름이라 이름 지어졌다. 말굽형의 분화구를 하고 있고· 흰 노루귀· 분홍 노루귀 등 생소한 야생화가 자란다. 붉은오름뿐 아니라 구두리 오름· 쳇망 오름 등 여러 오름과 함께 군락이 형성되어 있다.,
16,가세오름,spot,,,,산|숲|곶자왈|폭포|계곡|실외|등산|트레킹|자연|펜션|5개의 암설류인|찾기도 어렵고|형태가 가위|탐방로가 복잡하여|염통 모루|제주도|바지를 입는|다칠,표선면에 위치한 가세 오름은 산봉우리가 두 갈래로 나눠진 말굽형의 오름이다. 또한 오름의 형태가 가위 같아· 제주도 방언인 ‘가세’를 붙여 이름 지어졌다. 가세 오름에는 5개의 암설류인 봉우리인 염통 오름· 족은 염통· 달 모루· 진동산· 숨골왓이 있다. 가세 오름 초행길은 안내 표지판이 있으나 찾기도 어렵고 탐방로가 복잡하여 헤맬 수 있으니 주의를 요한다. 또한 가시덤불로 다칠 수 있어 긴 바지를 입는 것이 좋다.,
17,가시악,spot,,,,산|숲|곶자왈|섬|실외|등산|트레킹|감성|자연|가파도와 마라도까지|가시오름은 중심에서|중심에서 멀리|산정상은 축구장처럼|한라산과 모슬봉|일부러 시간을|지금은 거의|거의 없고,가시오름은 제주시 중심에서 멀리 떨어진 오름이라 일부러 시간을 내어 오르지 않으면 가기 쉽지 않다. 이름에서 알 수 있듯 이 오름에는 가시나무가 많았다. 하지만 지금은 거의 없고· 산정상은 축구장처럼 넓어 띠(제주어 ‘새’)가 살고 있다. 아름다운 한라산과 모슬봉· 가파도와 마라도까지 조망권이 좋다.,
18,가파도,spot,,,,섬|숲|곶자왈|산|가족|실외|등산|트레킹|자연|화장실|음료대|안내시설|펜션|민박|나눠지며 177명이|부속섬|네번째로 크다|위에서 내려다보면|가파도는 제주도|자전거를|한두|개도,가파도는 제주도 부속섬 중 네번째로 크다. 위에서 내려다보면 가파리(가오리 제주방언) 모양을 하고 있어 이름 붙여졌다. 혹은 덮개 모양을 닮아 '개도(蓋島)'라 불리다 가파도라 굳어졌다는 설도 있다. 상동과 하동으로 나눠지며· 177명이 거주한다. 포구 근처 자전거를 대여할 수 있지만· 평지가 많고 한두 시간이면 다 걸을 수 있다.,
19,가파도 마라도 정기여객선,spot,제주특별자치도 서귀포시 대정읍 최남단해안로 120,,,바다|도로|드라이브|섬|실외|액티비티|기타|여객선은 한국|운항시간을|정기 여객선은|왕복 탑승을|탑승을 원한다면|왕복|3시|배편 마지막,정기 여객선은 한국 최남단에 있는 마라도와 가파도 사이를 오간다. 승선하기 위해서 신분증을 지참하여야 하고 배 운항시간을 체크해야 한다. 운진항에서 출발하는 배편 중 마지막 한두 편은 편도만 운행할 수도 있다. 오후 3시· 4시쯤 운항이 마치기 때문에· 당일 왕복 탑승을 원한다면 주의해야 한다.,
20,가파도 청보리 축제,spot,제주특별자치도 서귀포시 대정읍 가파로91번길 51,,,도로|드라이브|산|섬|가족|등산|트레킹|실외|축제|화장실|음료대|안내시설|펜션|민박|먼저 봄소식을|서쪽으로는 국토|고근산|지역보다 이상|대정읍 모슬포항에서|5개산 산방산|푸르게 자란다|특히 가파도,가파도는 대정읍 모슬포항에서 배로 20여분 가면(남쪽으로 5.5㎞) 나온다. 동쪽으로 한라산을 비롯한 5개산(산방산· 송악산· 고근산· 군산· 단산)이 둘러져 있다. 서쪽으로는 국토 마라도가 보인다. 가파도는 최남단에서 가장 먼저 봄소식을 전해준다. 3월 초부터 5월 초순까지 보리잎이 절정을 이루며· 특히 가파도 청보리의 향맥은 타 지역보다 두 배 이상 크게 자란다. 제주특별자치도 향토 품종으로 전국에서 가장 먼저 높고 푸르게 자란다.,
21,가파초등학교 마라분교장,spot,제주특별자치도 서귀포시 대정읍 마라로 58,,,도로|드라이브|섬|체험|교육|아이와함께|가족|기타|교실건물을 증축|학생수의 증가로|이후 1962년|아이들의 교육을|1972년 11월|26일 급식실을|10일 숙직실|6월,마라도에 거주하는 아이들의 교육을 위해 1958년 8월 31일에 설립인가· 이후 1962년 8월 26일에 1개 교실을 신축하고 학생수의 증가로 1972년 11월 30일 1개 교실건물을 증축 1977년 6월 10일 숙직실 및 숙사를 신축· 1981년 10월 26일 급식실을 신축하여 현재의 모습을 갖고 있다.,
22,각시바우오름,spot,,,,산|숲|곶자왈|동굴|용암동|실외|등산|트레킹|자연|리조트|호텔|펜션|남부해안의 용암원정구대를|바위산으로 험한|하나는 남동향|섶섬|중앙에 바위로|북사면은 완만한|중심으로|연결되는 제주도,조면암질의 용암원정구로 된 바위산으로 험한 산세를 보이며· 제지기오름· 섶섬· 문섬· 범섬과 연결되는 제주도(濟州島) 남부해안의 용암원정구대를 이루고 있다. 북사면은 완만한 구릉으로 이어진 데에 반해· 남사면은 세가닥 등성마루가 뻗어내리고 이 등성마루는 중앙에 바위로 이루어진 주봉을 중심으로 좌· 우 양쪽에 하나는 남동향 다른 하나는 남서향으로 마치 학이 양날개를 펼친 듯이 뻗쳐 있어· 학이 날개를 펴고 날아와 앉은 모양이라 하여 일명 학수바위(鶴首岩)라고도 한다. 각수바우오름이라고도 하며 줄여서 각시바우· 각수바우 또는 학수바우라고 부른다.,
23,감귤박물관,spot,제주특별자치도 서귀포시 효돈순환로 441,,,도로|드라이브|문화|역사|체험|교육|실내|아이와함께|가족|문화재|액티비티|기타|시설로는 감귤박물관|736 아열대식물원|650 기획전시실|역사와 품종|영상으로 구성하여|여행객에게 추천되는|냄새|겨울 시즌,감귤박물관은 제주특별자치도 특산물인 감귤을 테마로 감귤의 역사와 품종· 재배 방법· 세계 감귤 모습 등 다양한 패널과 영상으로 구성하여 전시되어 있는 국내 최초 개관한 1종 공립전문박물관이다. 주요 시설로는 감귤박물관(2·315㎡)· 세계감귤재배유리온실(2·471㎡)· 감귤체험학습장(2·736㎡)· 아열대식물원(1·650㎡)· 기획전시실(97㎡) 등이 있다. 아이들이 좋아하는 감귤 밭에서 사진 찍기· 감귤 냄새 맡기· 감귤 따기 체험(겨울 시즌 한정) 등을 할 수 있어· 아이들을 동반한 가족 단위 여행객에게 추천되는 명소 중 한 곳이다.,
24,감귤박물관 월랑봉 산책고-생이소리길,spot,제주특별자치도 서귀포시 효돈순환로 441,,,도로|드라이브|산|숲|곶자왈|가족|실외|실내|등산|트레킹|자연|주차장|화장실|음료대|안내소|피난시설|펜션|민박|천천히 걸으면|걸으면 1시간|산책할|감귤박물관을|정산바위까지|이는 짧은|1시간|하지만 남녀노소,감귤박물관을 감싸고 있는 월라봉을 산책할 수 있는 생이소리길은 천천히 걸으면 1시간 정도의 코스로 월라봉 정산바위까지 오를 수 있다. 어떤 이는 짧은 코스라 아쉽다고 하지만 남녀노소 천천히 다녀올 수 있는 코스이다.,
25,감사공묘역,spot,제주특별자치도 제주시 조천읍 함대로 362,,,도로|드라이브|문화|역사|폭포|계곡|문화재|감성|아이와함께|호텔|펜션|게스트하우스|제주도에서 겹벚꽃을|겹벚꽃을 있는|겹벚꽃을|제주도에서|봄나들이|있는 봄나들이|있는,제주도에서 겹벚꽃을 볼 수 있는 봄나들이 명소,
26,감수굴 밭담길,spot,제주특별자치도 제주시 구좌읍 평대7길 34,,,산|폭포|계곡|숲|곶자왈|실외|등산|트레킹|카페뷰|야경|자연|펜션|게스트하우스|민박|풍경을 즐기며|위치한 감수굴|밭담의 돌들이|마을의 정취|중동에|햇살과|제주특별자치도|태풍에도,평대리 중동에 위치한 감수굴 밭담길은 고즈넉한 마을의 옛 정취 그대로의 풍경을 즐기며 산책하기 좋다. 밭담의 돌들이 얼기설기 물려있고· 틈새가 있어 태풍에도 무너지지 않는다. 평대리 밭담 사이사이로 제주특별자치도 햇살과 풍광을 만끽해보자.,
27,갑자기 히어로즈 벽화길,spot,제주특별자치도 제주시 애월읍 금성1길 29-3,,,도로|드라이브|바다|체험|교육|감성|기타|해안도로에 벽화|마을 곳곳|조성했다 제주특별자치도|건물|민원을 해결하는|바다와 돌하르방|재밌는|프로그램 진행자들의,마을 곳곳 민원을 해결하는 갑자기 히어로즈에서 애월읍 금성리 마을 해안도로에 벽화 거리를 조성했다. 제주특별자치도 분위기를 풍기는 바다와 돌하르방· 인물 캐리커처 등 재밌는 그림을 감상할 수 있다. 해안도로 앞 건물 역시 그림으로 꾸며졌으며 이곳을 꾸민 프로그램 진행자들의 사인도 함께 있다.,
28,갓전시관[갓전수교육관],spot,제주특별자치도 제주시 조천읍 남조로 190,,,도로|드라이브|문화|역사|체험|교육|실내|문화재|아이와함께|기타|전시관은 중요무형문화재|전시실|선생이 전수교육관|영상실|건립됐다 만드는|보호조례에 따라|제4호 고분양태|제주도문화재 보호조례에,갓 전시관은 중요무형문화재 제4호 고분양태 보유자 장순자 선생이 전수교육관 부지를 제공해 건립됐다. 갓 만드는 작업은 물론 갓의 원형 등의 전시실· 체험실· 영상실· 공방 등이 있다. 이 전시관은 제주도문화재 보호조례에 따라 기능보유자 장씨가 위탁관리하며 전승장소로 활용된다.,
29,강병대교회,spot,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,,,문화|역사|도로|드라이브|문화재|가족|실내|공용주차장|호텔|게스트하우스|민박|국방 기념물이다|공병대에서 건립했다|강병대교회는 등록문화재|1952년에|벽체가|역사적 가치가|훈련병의 정신력|규모 절반,서귀포시 대정읍에 있는 강병대교회는 등록문화재 제38호로 지정됐다. 훈련병의 정신력 강화· 위안을 위해 1952년에 공병대에서 건립했다. 벽체가 현무암이며 전체 규모 절반 정도가 준공 당시 모습을 유지해 역사적 가치가 높은 국방 기념물이다.,
30,강정어촌계,spot,제주특별자치도 서귀포시 말질로 290,,,도로|드라이브|숲|곶자왈|바다|가족|실외|등산|트레킹|감성|문화재|역사|자연|화장실|리조트|펜션|게스트하우스|여름철 낚시꾼이|강정마을은 뛰어난|유명하다 제주월드컵경기장|어업 관광이|주거지역으로 감귤|명소로 유명하다|관광이 어우러져|법환포구,강정마을은 뛰어난 경치의 올레 7코스에 있다. 외돌개· 법환포구· 강정포구를 끼고 있어 관광객이 꼭 들리는 명소로 유명하다. 제주월드컵경기장· 신시가지가 있는 농어촌 주거지역으로 감귤· 어업· 관광이 어우러져 여름철 낚시꾼이 즐겨 찾는다.,
31,강정천유원지,spot,제주특별자치도 서귀포시 강정통물로,,,도로|드라이브|산|숲|곶자왈|가족|문화재|역사|실외|등산|트레킹|자연|공용주차장|화장실(1동)|안내시설|게스트하우스|가족펜션|서식하며 천연기념물|옛부터 물이|식수|한라산|마을 동쪽|식수 70|많아|327호,강정마을은 서귀포시 최남단 마을로 옛부터 물이 많아 물 강· 물 정을 써 이름 붙여졌다. 마을 동쪽 위치한 강정천은 한라산 암반수가 항상 흘러 서귀포 식수 70%를 공급하며 수려한 자연경관을 뽐낸다. 제주에서 보기 힘든 은어가 서식하며 천연기념물 제 327호 원앙새가 날아다닌다.,
32,개미목,spot,,,,산|숲|곶자왈|등산|트레킹|실외|자연|한라산 등산객의|입구에서 9km|개미|개미등이라 불리기도|많은 사람이|200m|관음사|생각했다 현재,관음사 등산로 입구에서 4.9km 정도 올라가면 보이는 산등성이로 화산침식잔구(火山浸蝕殘丘)다. 해발 1·200m 지점에 위치한다. 지형이 개미 목처럼 생겨 해당 명칭이 붙었고· 개미등이라 불리기도 한다. 예부터 많은 사람이 명당 묫자리로 생각했다. 현재 산장이 있고 제주특별자치도 일대 경치가 보여 한라산 등산객의 쉼터로 각광받는다.,
33,개오름,spot,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,,,도로|드라이브|산|숲|곶자왈|실외|등산|트레킹|가족|자연|안내시설|주차장|해송과 삼나무가|지역은 어린나무와|남동사면에는 해송과|북쪽은 봉긋|피뿌리풀|기생화산체로 남동사면에는|구악 이라|작은,산정부 남쪽이 정상이고 북쪽은 봉긋 부풀어 그 사이가 다소 우묵졌고· 동서사면으로 작은 골이 얕게 패였다. 기생화산체로 남동사면에는 해송과 삼나무가 있다. 그 외 지역은 어린나무와 술패랭이· 가시쑥부쟁이· 낭아초· 피뿌리풀 등이 식생한다. 오름 모양이 개 같아 구악(狗岳)이라 표기하며 옛날엔 밥뚜껑 같아 개악(蓋岳)이라 적었다.,
34,개오리오름,spot,,,,산|숲|곶자왈|폭포|계곡|실외|등산|트레킹|반려동물|자연|족은개오리 664m|664m 북쪽에|개가 머리를|목장의 동쪽에|16도로 근처|북쪽에 서향으로|모양|개월오름이라고도,개오리오름은 세 봉우리의 화산체로 5.16도로 근처 목장의 동쪽에 있다. 주봉(743m)에 송신탑이 있고· 족은개오리(664m) 북쪽에 서향으로 말굽형 화구를 갖는다. 가운데 샛개오리(658m)는 원추형 작은 오름이다. 오름 형세가 가오리를 닮아 이름 지어졌다. 개가 머리를 들고 짖는 모양 같아 개월오름이라고도 한다.,
35,개월오름,spot,,,,산|폭포|계곡|등산|트레킹|실외|반려동물|카페뷰|야경|오름|664m 북쪽에|목장의 동쪽에|743m 송신탑이|개가 머리를|658m 원추형|개월오름이라고도|모양|화산체로 16도로,개월오름은 세 봉우리의 화산체로 5.16도로 근처 목장의 동쪽에 있다. 주봉(743m)에 송신탑이 있고· 족은개오리(664m) 북쪽에 서향으로 말굽형 화구를 갖는다. 가운데 샛개오리(658m)는 원추형 작은 오름이다. 오름 형세가 가오리를 닮아 이름 지어졌다. 개가 머리를 들고 짖는 모양 같아 개월오름이라고도 한다.,
36,갤러리2 중선농원,spot,제주특별자치도 제주시 영평길 269,,,섬|숲|곶자왈|가족|실내|카페뷰|야경|예술|주차장|화장실|펜션|가족호텔|갤러리는 감귤밭을|곳간은 도서관|창고는 카페|갤러리2 작은|갤러리는|감귤을 보관하던|청신재 사용한다|중견,영평길에 있는 이 갤러리는 감귤밭을 그대로 유지해 제주특별자치도 정취를 누릴 수 있다. 감귤을 보관하던 창고는 갤러리2· 작은 창고는 카페· 곳간은 도서관 ‘청신재’로 사용한다. 제주에서 쉽게 접할 수 없던 중견 작가의 개인전이 주로 열린다.,
37,거린사슴전망대,spot,제주특별자치도 서귀포시 1100로 791,,,도로|드라이브|산|섬|카페뷰|야경|등산|트레킹|실외|반려동물|기타|전망대에서 숲섬|실제 사슴이|있는 거린사슴오름은|서귀포의 명승지가|파노라마 사진에|한라산|사진에 설명돼|실제,한라산 중턱에 있는 거린사슴오름은 실제 사슴이 살았다고 전해진다. 이 전망대에서 숲섬· 범섬· 문섬 등을 볼 수 있다. 서귀포의 명승지가 파노라마 사진에 잘 설명돼 있다.,
38,거린오름(북오름),spot,,,,산|숲|곶자왈|폭포|계곡|실외|등산|트레킹|카페뷰|야경|문화재|역사|자연|리조트|호텔|게스트하우스|옛말인 가리다의|거리다에서 왔다|거린오름은 안덕면|동광리에 있고|제주방언 거리다에서|제주방언|이름은|옛말인,거린오름은 안덕면 동광리에 있고 봉우리가 두 갈래로 갈린다. 이름은 갈리다의 옛말인 가리다의 제주방언· 거리다에서 왔다.,
39,거문오름,spot,제주특별자치도 제주시 조천읍 선교로 569-36,,,도로|드라이브|산|동굴|용암동|가족|실외|등산|트레킹|문화재|역사|자연|주차장|화장실|음료대|안내소|피난시설|게스트하우스|동굴 규모는|높은 용암동굴계|유일하게 유네스코|지질학 가치가|등재되었다 제주도자연유산|세계적인 수준이다|거문오름 주변|해발456m,거문오름(해발456m)은 숲이 우거져 검은 오름이라 한다. 지질학 가치가 높은 용암동굴계 모체로 유일하게 유네스코 세계자연유산에 등재되었다. 제주도자연유산 학술조사에 따르면 거문오름 주변 동굴 규모는 세계적인 수준이다.,
40,거믄여해안경승지,spot,제주특별자치도 서귀포시 516로,,,도로|드라이브|산|숲|곶자왈|실외|가족|등산|트레킹|카페뷰|야경|자연|공용주차장|게스트하우스|가족펜션|관광의 매력을|관광의|화산암 기암절벽을|산책과|파라다이스호텔이|낚시를 즐기는|정방폭포|생긴,서귀포 관광의 매력을 잘 나타내며 근처 정방폭포· 파라다이스호텔이 있다. 용암으로 생긴 화산암· 기암절벽을 볼 수 있고 산책과 낚시를 즐기는 관광객이 즐겨 찾는다.,
41,거슨새미오름,spot,,,,산|숲|곶자왈|폭포|계곡|실외|등산|트레킹|가족|카페뷰|야경|자연|공용주차장|펜션|게스트하우스|거꾸로 한라산으로|한라산으로 흘러|바다를|남쪽|제주특별자치도|오름밭|샘은|구좌읍,구좌읍 송당리에 있다. 제주특별자치도 용천은 주로 바다를 향하는데 이곳 샘은 거꾸로 한라산으로 흘러 이름 붙여졌다. 한자로는 천악(泉岳) 혹은 역수산(逆水山)으로 표기되었다. 남쪽 등성이는 목장이고 정상에 경방초소가 있다. 오름밭 일대 전망을 볼 수 있다.,
